Kanji,Pronunciation
浅い,"['あさ', 'い']"
約,['やく']
大変,"['たい', 'へん']"
面倒臭い,"['めん', 'どう', 'くさ', 'い']"
憂鬱,"['ゆう', 'うつ']"
整数,"['せい', 'すう']"
引き出し,"['ひ', 'き', 'だ', 'し']"
衝撃,"['しょう', 'げき']"
是非とも,"['ぜ', 'ひ', 'と', 'も']"
知恵,"['ち', 'え']"
質,['しつ']
賢明,"['けん', 'めい']"
声明,"['せい', 'めい']"
助ける,"['たす', 'け', 'る']"
貧乏,"['びん', 'ぼう']"
奮闘,"['ふん', 'とう']"
籠,['かご']
言い出す,"['い', 'い', 'だ', 'す']"
呼ぶ,"['よ', 'ぶ']"
深まる,"['ふか', 'ま', 'る']"
野生,"['や', 'せい']"
束の間,"['つか', 'の', 'ま']"
割,['かつ']
他人,"['た', 'にん']"
戦災,"['せん', 'さい']"
世論,"['せ', 'ろん']"
獣,['けだもの']
些事,"['さ', 'じ']"
年長,"['ねん', 'ちょう']"
お菓子,"['お', 'か', 'し']"
黒い,"['くろ', 'い']"
児,['こ']
愉快,"['ゆ', 'かい']"
隔週,"['かく', 'しゅう']"
当てはまる,"['あ', 'て', 'は', 'ま', 'る']"
子,['こ']
泥棒,"['どろ', 'ぼう']"
開始,"['かい', 'し']"
禁ずる,"['きん', 'ず', 'る']"
帯びる,"['お', 'び', 'る']"
投げ出す,"['な', 'げ', 'だ', 'す']"
掛け算,"['か', 'け', 'ざん']"
待つ,"['ま', 'つ']"
頼み,"['たの', 'み']"
符号,"['ふ', 'ごう']"
満月,"['まん', 'げつ']"
火口,"['か', 'こう']"
異議,"['い', 'ぎ']"
雲,['くも']
事務所,"['じ', 'む', 'しょ']"
赴く,"['おもむ', 'く']"
態と,"['わざ', 'と']"
見掛け,"['み', 'か', 'け']"
役目,"['やく', 'め']"
引き下げる,"['ひ', 'き', 'さ', 'げ', 'る']"
労る,"['いたわ', 'る']"
仲人,"['ちゅう', 'にん']"
赴任,"['ふ', 'にん']"
只,['ただ']
域外,"['いき', 'がい']"
暴露,"['ばく', 'ろ']"
訂正,"['てい', 'せい']"
余暇,"['よ', 'か']"
